Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price
m,21,1400.59,low,working,accountants,semi-urban,24471.54,89.57,n,y,2,713.57,1,unpossessed,4,agriculture,rural,0,31847.76
f,49,2614.31,low,commercial associate,managers,semi-urban,187917.31,533.87,y,y,2,736.27,0,inactive,7,agriculture,urban,1,346069.61
m,18,990.09,low,working,cleaning staff,rural,57905.12,223.55,n,n,3,650.99,1,unpossessed,3,commercial,semi-urban,1,109766.96
f,61,1173.09,low,commercial associate,sales staff,semi-urban,31670.08,161.43,n,n,3,628.73,1,active,3,industrial,urban,0,47325.56
m,39,2222.435,low,commercial associate,managers,semi-urban,137922.62,785.25,y,y,3,704.53,0,unpossessed,6,commercial,urban,1,177723.15
f,62,1941.31,low,commercial associate,accountants,rural,138372.2,641.05,n,n,1,794.89,0,unpossessed,5,residential,rural,1,159146.27
f,53,1400.39,low,commercial associate,laborers,semi-urban,10145.69,107.16,n,n,1,727.93,0,inactive,4,industrial,rural,1,14089.85
m,62,749.77,high,pensioner,hr staff,semi-urban,17638.73,108.15,n,y,1,625.64,0,inactive,2,commercial,urban,1,30231.25
f,64,1955.78,high,commercial associate,sales staff,semi-urban,119913.46,392.94,y,n,2,788.44,1,unpossessed,5,commercial,urban,1,164134.09
f,18,3294.11,low,working,laborers,semi-urban,74596.05,357.65,y,y,3,669.95,0,inactive,9,residential,rural,1,104999.17
m,25,3101.59,low,working,laborers,rural,83900.36,405.57,y,y,3,618.3,0,inactive,8,commercial,semi-urban,1,115580.33
f,25,1762.14,low,working,laborers,semi-urban,42496.23,366.36,n,n,2,739.82,0,unpossessed,5,commercial,semi-urban,1,48690.17
f,59,1870.32,low,working,accountants,semi-urban,29996.31,137.71,n,y,3,770.59,0,active,5,industrial,semi-urban,1,54241.18
m,38,1974.17,low,commercial associate,medicine staff,semi-urban,24716.74,128.12,n,y,1,645.47,0,inactive,5,residential,rural,1,43657.59
f,65,1686.55,high,pensioner,hr staff,semi-urban,139728.88,712.29,n,y,2,808.19,1,inactive,5,agriculture,semi-urban,1,155803.67
f,43,2489.3,low,working,laborers,semi-urban,27096.81,125.28,n,y,2,783.1,0,inactive,7,agriculture,rural,1,49191.41
f,21,3129.6,low,commercial associate,hr staff,semi-urban,43059.07,129.95,n,y,4,734.81,1,active,9,agriculture,urban,1,67629.25
f,56,2222.435,low,commercial associate,sales staff,urban,175416.36,564.91,n,y,3,785.3,0,unpossessed,6,commercial,urban,1,246694.24
m,48,2222.435,low,working,accountants,semi-urban,115723.87,642.63,n,y,2,769.82,0,inactive,6,agriculture,semi-urban,1,200047.21
m,21,2950.76,low,commercial associate,laborers,urban,103813.31,498.96,y,y,3,727.7,0,inactive,8,commercial,semi-urban,1,176805.26
m,18,1827.74,low,working,accountants,semi-urban,143855.26,790.25,n,n,2,707.93,1,active,5,commercial,urban,1,187818.61
m,43,1917.4,low,working,core staff,rural,89753.69,316.39,y,y,2,739.82,0,active,5,residential,semi-urban,1,148962.13
f,39,2467.78,low,working,low-skill laborers,rural,17513.96,212.12,n,y,3,723.09,0,unpossessed,7,commercial,rural,1,28212.76
m,42,5240.26,low,commercial associate,managers,semi-urban,216843.41,754.66,n,y,4,765.28,0,inactive,14,residential,semi-urban,1,306400.57
f,53,4105.86,low,working,laborers,semi-urban,87788.57,428.23,y,n,2,747.67,0,inactive,11,residential,urban,1,142435.92
f,39,1250.74,low,working,hr staff,semi-urban,69091.85,314.44,n,n,1,629.26,0,active,3,agriculture,semi-urban,1,112764.84
m,38,1097.66,low,working,sales staff,rural,33019.04,185.35,n,n,2,759.18,0,unpossessed,3,commercial,urban,1,48943.98
f,46,2222.435,low,working,laborers,semi-urban,38783.44,367.98,y,y,4,646.18,0,active,6,residential,rural,1,51500.07
m,40,3511.28,low,working,core staff,semi-urban,210479.39,762.74,n,y,4,736.64,0,unpossessed,10,residential,urban,1,342587.25
m,53,2914.55,low,working,sales staff,semi-urban,110459.42,318.58,n,y,3,798.34,0,unpossessed,8,agriculture,semi-urban,1,159092.54
m,32,2222.435,low,working,cooking staff,rural,112611.41,375.2,n,n,2,711.08,0,inactive,6,commercial,urban,1,190379.7
f,42,1521.58,low,state servant,core staff,semi-urban,112320.25,470.26,n,n,3,739.82,0,inactive,4,residential,semi-urban,1,164819.37
f,21,2141.44,low,working,core staff,semi-urban,73728.08,308.76,y,y,3,667.19,0,inactive,6,industrial,semi-urban,1,87099.13
m,28,2255.59,low,commercial associate,hr staff,rural,56750.73,466.02,y,y,3,739.82,0,inactive,6,agriculture,urban,1,88311.21
m,21,2857.89,low,working,laborers,semi-urban,80343.02,347.78,n,y,2,695.6,1,unpossessed,8,agriculture,semi-urban,1,124950.1
m,65,2509.33,high,pensioner,hr staff,semi-urban,92927.45,411.17,n,y,3,811.03,1,inactive,7,industrial,rural,0,153943.28
f,57,2630.28,low,working,drivers,semi-urban,137045.27,509.27,y,n,2,679.51,0,inactive,7,residential,urban,1,162653.0
f,18,2222.435,high,working,high skill tech staff,semi-urban,71199.49,530.86,n,y,2,677.95,1,inactive,6,industrial,rural,1,79318.39
f,18,2235.85,low,commercial associate,sales staff,semi-urban,99107.78,487.48,n,n,2,666.68,0,unpossessed,6,residential,semi-urban,1,146397.76
f,18,4894.51,high,working,managers,rural,56480.79,417.62,y,y,2,648.4,0,active,13,agriculture,rural,1,95369.63
m,59,2361.93,low,working,laborers,rural,25132.93,134.69,y,y,4,646.92,0,active,6,residential,rural,0,41178.3
f,34,958.66,low,working,medicine staff,rural,103774.65,294.65,n,n,2,849.66,0,inactive,3,residential,semi-urban,1,149911.57
f,39,3090.66,high,working,high skill tech staff,semi-urban,58641.74,292.82,y,y,2,769.35,0,active,8,agriculture,urban,1,90156.76
m,29,2879.27,low,working,laborers,semi-urban,11832.98,92.87,n,y,3,613.84,0,active,8,commercial,urban,1,15356.64
m,43,3599.31,low,commercial associate,accountants,rural,93433.9,669.59,y,y,2,739.0,0,unpossessed,10,residential,rural,1,119174.82
f,53,2222.435,low,commercial associate,cooking staff,semi-urban,52741.43,216.39,y,y,2,852.52,0,unpossessed,6,commercial,semi-urban,1,70978.89
f,55,1756.55,low,working,waiters/barmen staff,rural,21285.38,254.92,n,y,1,663.11,0,active,5,agriculture,rural,1,25644.31
m,38,1211.57,low,working,sales staff,semi-urban,18278.97,116.65,n,y,2,722.59,0,unpossessed,3,agriculture,rural,1,26481.63
f,27,1218.02,low,working,cooking staff,semi-urban,20759.14,143.28,y,n,2,715.28,0,unpossessed,3,residential,semi-urban,1,27465.34
f,25,2628.23,low,commercial associate,laborers,semi-urban,25219.17,127.91,n,n,2,682.43,0,inactive,7,agriculture,rural,1,27807.59
f,57,1869.92,low,working,hr staff,urban,175448.39,455.9,n,n,4,786.95,1,active,5,industrial,urban,1,296331.73
f,42,6142.67,low,commercial associate,laborers,semi-urban,163963.44,454.33,y,y,2,786.86,0,inactive,17,industrial,semi-urban,1,234216.85
m,32,4285.91,low,working,laborers,semi-urban,131833.72,758.92,y,y,2,799.61,0,inactive,12,residential,rural,0,204890.33
f,33,2554.0,low,working,accountants,rural,74701.64,419.95,y,y,1,751.85,1,active,7,agriculture,semi-urban,0,123784.41
f,29,6940.88,low,commercial associate,managers,urban,81335.68,406.65,y,y,2,762.84,1,inactive,19,industrial,semi-urban,1,154522.59
f,21,1738.31,low,working,cleaning staff,semi-urban,83221.87,304.1,n,y,2,812.36,0,inactive,5,industrial,rural,1,150696.64
f,31,1543.58,low,working,hr staff,semi-urban,91015.1,403.14,y,n,4,692.05,0,unpossessed,4,agriculture,rural,1,137839.76
m,18,3539.92,low,commercial associate,security staff,urban,228153.37,668.89,n,n,3,637.04,0,active,10,residential,rural,1,396663.71
f,33,4609.02,low,commercial associate,hr staff,semi-urban,221204.56,624.37,y,n,2,639.2,0,unpossessed,13,agriculture,semi-urban,1,308368.65
f,45,2302.64,high,working,core staff,semi-urban,20489.45,157.07,y,n,2,652.51,0,inactive,6,residential,semi-urban,1,22842.33
f,26,2196.06,low,commercial associate,laborers,semi-urban,135446.22,526.14,n,y,3,717.73,0,active,6,industrial,semi-urban,1,185291.12
f,40,2222.435,low,working,laborers,semi-urban,33868.39,160.77,n,y,3,756.43,0,inactive,6,industrial,semi-urban,1,52956.88
f,41,2537.9,low,working,drivers,semi-urban,81845.26,386.6,y,y,2,796.4,0,unpossessed,7,agriculture,rural,1,105478.86
f,18,2222.435,low,working,hr staff,urban,284547.94,1123.23,y,n,2,711.79,1,inactive,6,industrial,urban,1,418078.93
m,28,1445.76,low,working,drivers,semi-urban,52901.36,224.11,y,y,2,726.21,0,active,4,agriculture,semi-urban,1,90027.03
m,18,2861.59,low,working,sales staff,semi-urban,89466.63,425.55,n,y,2,707.38,0,inactive,8,residential,semi-urban,1,124136.06
m,60,4681.81,low,state servant,secretaries,urban,233956.45,617.07,y,y,3,792.78,0,unpossessed,13,industrial,rural,1,299175.8
f,36,3105.6,low,working,hr staff,rural,84321.44,397.82,y,y,1,795.87,0,unpossessed,9,commercial,semi-urban,0,160097.26
f,61,8041.25,low,commercial associate,laborers,urban,116335.68,355.63,y,y,1,765.34,1,unpossessed,22,industrial,semi-urban,1,216967.69
f,47,2271.91,low,state servant,core staff,rural,141649.11,375.2,n,y,2,704.89,0,inactive,6,industrial,urban,1,196013.52
m,47,2997.25,low,commercial associate,managers,urban,66553.06,451.55,n,y,2,781.36,1,unpossessed,8,industrial,rural,0,125153.53
m,40,3290.21,high,working,high skill tech staff,semi-urban,108666.95,365.05,y,n,2,836.6,1,unpossessed,9,agriculture,rural,1,128797.77
f,47,2222.435,low,working,hr staff,semi-urban,75884.57,583.09,y,y,3,777.49,0,active,6,commercial,semi-urban,1,138445.85
m,50,2222.435,low,working,sales staff,semi-urban,27657.45,191.9,n,n,2,681.51,0,unpossessed,6,agriculture,rural,1,32009.42
f,18,2222.435,low,working,hr staff,semi-urban,77011.71,448.72,n,y,3,743.48,0,active,6,residential,rural,1,114609.36
f,18,3319.89,low,working,laborers,semi-urban,68231.15,479.97,y,y,4,691.88,0,active,9,residential,rural,1,127166.01
f,56,1658.35,low,working,managers,semi-urban,41490.4,264.81,n,y,2,719.11,0,unpossessed,5,residential,semi-urban,1,58987.45
f,32,1289.48,low,commercial associate,high skill tech staff,semi-urban,127336.62,634.11,n,n,4,755.57,0,active,4,industrial,semi-urban,1,145669.55
f,18,4641.25,low,commercial associate,managers,urban,140218.13,436.18,n,y,4,702.07,0,active,13,residential,rural,0,226172.49
f,57,2734.18,low,commercial associate,accountants,semi-urban,82516.04,540.78,y,n,2,832.04,0,active,7,residential,urban,1,127959.73
f,42,2682.82,low,commercial associate,laborers,semi-urban,49745.43,247.48,n,y,3,796.39,0,active,7,agriculture,semi-urban,1,88593.0
m,35,4087.68,low,working,drivers,urban,97555.25,600.48,y,y,3,661.88,0,unpossessed,11,agriculture,semi-urban,0,109253.43
f,64,1565.04,low,working,sales staff,urban,158483.98,611.26,n,y,2,844.23,0,unpossessed,4,residential,urban,1,225166.97
f,53,2231.81,high,working,hr staff,semi-urban,47315.57,225.22,n,n,2,739.82,0,active,6,residential,rural,1,109993.61
m,65,2712.63,high,pensioner,hr staff,urban,189425.41,651.75,n,y,2,862.24,0,unpossessed,7,agriculture,rural,1,284865.96
f,54,2551.35,low,working,laborers,semi-urban,220195.87,836.63,n,y,1,664.07,1,inactive,7,industrial,urban,1,406461.23
f,21,2222.435,low,state servant,hr staff,semi-urban,171616.51,720.95,n,y,3,739.82,0,active,6,agriculture,rural,1,242499.31
f,21,2222.435,low,commercial associate,sales staff,semi-urban,59601.24,252.3,n,n,2,671.64,0,unpossessed,6,commercial,semi-urban,1,72407.89
f,42,3527.75,low,commercial associate,accountants,urban,200609.69,610.32,n,y,1,824.71,0,inactive,10,commercial,urban,1,361543.16
m,18,1752.87,low,commercial associate,laborers,semi-urban,54559.88,408.32,y,y,4,779.54,0,unpossessed,5,residential,urban,1,85679.06
f,55,1028.91,low,working,hr staff,semi-urban,35632.52,272.98,y,y,2,783.44,0,unpossessed,3,commercial,urban,0,49678.62
m,47,1704.79,low,working,laborers,urban,81029.83,341.63,n,y,2,728.76,0,inactive,5,agriculture,semi-urban,1,110254.33
m,24,4561.93,high,working,accountants,semi-urban,196889.44,580.91,y,n,2,832.69,0,unpossessed,12,commercial,urban,1,253283.29
f,63,3111.53,low,working,core staff,semi-urban,24665.65,123.85,n,y,2,634.72,0,active,9,industrial,semi-urban,0,31099.65
m,61,3188.13,low,commercial associate,private service staff,semi-urban,226297.83,698.44,y,y,3,671.53,0,unpossessed,9,industrial,urban,1,394947.02
m,64,1044.31,high,pensioner,hr staff,semi-urban,38147.33,184.17,n,y,1,815.86,1,unpossessed,3,residential,semi-urban,1,42182.4
m,43,3021.05,low,working,hr staff,semi-urban,174806.03,740.94,n,y,3,615.58,0,inactive,8,agriculture,semi-urban,0,210120.73
m,47,2945.55,low,commercial associate,medicine staff,rural,77067.85,278.64,y,y,1,758.01,0,unpossessed,8,industrial,rural,1,137831.77
m,65,2628.07,high,pensioner,hr staff,semi-urban,61218.81,439.86,n,y,1,727.93,1,unpossessed,7,industrial,semi-urban,1,68158.01
m,52,2222.435,low,commercial associate,hr staff,semi-urban,37771.31,203.28,n,y,3,769.05,0,active,6,industrial,rural,1,45484.21
m,18,1237.64,low,working,sales staff,semi-urban,51081.36,241.78,n,y,2,727.07,1,inactive,3,residential,semi-urban,1,75232.7
m,50,2599.08,low,state servant,core staff,semi-urban,83594.51,443.09,n,y,2,667.03,1,unpossessed,7,industrial,semi-urban,1,123036.74
m,45,1277.27,low,commercial associate,waiters/barmen staff,urban,41120.09,190.44,n,y,3,700.59,0,active,3,residential,urban,1,57905.54
f,61,1896.63,low,working,sales staff,semi-urban,150744.75,455.96,n,y,2,671.46,0,inactive,5,industrial,urban,1,249206.84
f,33,4881.6,low,working,laborers,semi-urban,30401.15,239.98,y,y,2,848.6,1,inactive,13,commercial,urban,1,48693.71
f,18,1334.8,low,commercial associate,hr staff,rural,105763.16,487.84,n,y,2,660.15,0,active,4,agriculture,rural,1,157719.55
f,29,2222.435,low,commercial associate,core staff,semi-urban,212469.28,565.79,n,n,2,741.89,0,unpossessed,6,residential,semi-urban,1,265032.86
m,61,1825.88,low,state servant,managers,urban,225327.18,711.64,y,y,2,781.28,0,inactive,5,commercial,semi-urban,0,425875.15
m,44,8222.97,high,commercial associate,hr staff,urban,186650.11,1025.01,n,y,2,810.06,0,unpossessed,23,commercial,semi-urban,1,226299.17
f,62,2222.435,low,state servant,core staff,semi-urban,39074.17,204.73,y,y,2,739.82,0,unpossessed,6,residential,semi-urban,1,48735.82
m,30,1251.25,low,working,cooking staff,semi-urban,101585.22,384.02,n,n,2,720.1,0,inactive,3,commercial,rural,1,188331.12
m,60,1534.93,low,working,core staff,semi-urban,33088.03,162.11,n,n,2,730.5,0,unpossessed,4,commercial,rural,1,53158.6
m,32,1967.91,low,working,laborers,semi-urban,117136.7,304.02,n,y,1,675.99,0,unpossessed,5,residential,semi-urban,1,131551.4
f,25,1354.95,high,state servant,security staff,semi-urban,68385.47,325.81,n,n,1,714.6,0,inactive,4,agriculture,semi-urban,1,77384.24
m,35,2618.06,low,working,accountants,rural,121765.29,380.53,n,n,2,729.03,0,unpossessed,7,residential,semi-urban,1,188265.64
f,47,2947.69,low,commercial associate,core staff,semi-urban,216784.14,686.86,n,n,2,845.0,0,active,8,industrial,urban,1,244636.22
m,46,3874.4,low,working,high skill tech staff,semi-urban,174036.62,715.02,y,y,2,806.0,1,active,11,commercial,urban,0,307039.24
f,59,2576.87,low,state servant,hr staff,rural,32428.84,319.0,n,y,4,814.53,0,unpossessed,7,residential,semi-urban,1,57000.37
m,32,2774.48,low,working,sales staff,semi-urban,74916.37,389.71,n,y,4,601.04,1,active,8,residential,rural,1,91920.52
f,50,2063.03,low,commercial associate,sales staff,semi-urban,154182.53,450.23,n,y,2,791.61,1,inactive,6,industrial,urban,1,274016.97
f,18,2222.435,low,working,managers,rural,100683.87,258.82,n,n,2,718.01,0,unpossessed,6,commercial,rural,1,128943.8
f,46,2222.435,low,commercial associate,laborers,semi-urban,62896.94,332.63,n,n,2,641.14,1,inactive,6,residential,urban,1,98293.25
f,52,2222.435,high,working,hr staff,semi-urban,31172.09,276.06,n,n,1,754.03,0,active,6,commercial,urban,1,48961.04
m,58,2222.435,low,commercial associate,hr staff,rural,55193.27,285.82,n,y,2,855.48,0,unpossessed,6,residential,semi-urban,1,79736.38
f,32,956.47,low,state servant,medicine staff,semi-urban,55972.14,268.56,y,y,2,698.88,0,unpossessed,3,residential,semi-urban,1,85920.89
m,18,2700.93,high,working,low-skill laborers,semi-urban,58331.05,258.33,y,y,1,613.33,0,inactive,7,agriculture,rural,0,94691.58
f,29,2222.435,low,working,laborers,semi-urban,45025.3,249.16,y,y,2,734.92,0,inactive,6,agriculture,urban,1,75367.68
m,64,1564.62,high,pensioner,hr staff,semi-urban,58019.5,267.04,n,y,2,883.68,0,unpossessed,4,residential,semi-urban,0,97916.71
m,39,2222.435,low,commercial associate,core staff,semi-urban,72275.86,428.22,n,y,2,695.24,1,active,6,commercial,semi-urban,1,122103.75
m,57,1038.5,low,working,laborers,semi-urban,10146.33,104.85,n,n,3,693.25,0,active,3,industrial,urban,1,15568.08
f,22,3284.5,low,working,drivers,rural,88027.51,416.63,n,y,2,673.64,0,inactive,9,agriculture,rural,1,115671.61
m,60,3458.39,high,pensioner,hr staff,urban,132328.4,829.92,n,y,2,871.96,0,unpossessed,9,residential,rural,1,217738.75
f,61,2222.435,high,pensioner,hr staff,semi-urban,51754.69,192.6,n,y,1,710.79,0,inactive,6,agriculture,rural,1,84737.05
m,23,2222.435,low,commercial associate,high skill tech staff,semi-urban,93276.51,485.02,y,y,2,825.62,0,inactive,6,industrial,rural,1,128206.4
m,22,1817.45,low,working,hr staff,semi-urban,28238.17,175.71,n,n,1,827.15,0,inactive,5,agriculture,rural,1,44239.95
m,61,1478.79,low,state servant,cleaning staff,semi-urban,36680.26,206.33,y,y,1,811.16,0,inactive,4,residential,rural,1,52232.86
m,63,2222.435,high,pensioner,hr staff,semi-urban,18944.74,104.93,n,y,2,863.84,0,unpossessed,6,commercial,semi-urban,1,31196.7
m,21,4063.59,low,commercial associate,hr staff,urban,280234.01,880.05,n,y,2,837.57,0,unpossessed,11,commercial,semi-urban,1,493321.82
m,61,3469.36,high,pensioner,hr staff,semi-urban,105591.18,415.53,n,y,2,762.95,0,inactive,10,industrial,urban,1,145412.81
f,28,2222.435,low,working,core staff,semi-urban,46077.38,399.14,y,y,2,705.03,1,active,6,residential,semi-urban,1,85724.88
m,55,2806.99,high,working,accountants,semi-urban,198340.91,517.56,n,n,2,778.68,0,inactive,8,commercial,semi-urban,1,340180.3
f,29,1827.97,low,working,laborers,semi-urban,39949.54,256.77,n,n,4,596.44,0,inactive,5,residential,semi-urban,1,63489.08
f,21,3265.75,low,working,laborers,urban,39760.88,349.05,n,y,3,792.92,0,inactive,9,agriculture,semi-urban,1,57159.37
f,18,2498.02,low,working,laborers,rural,158706.74,450.54,n,y,4,758.77,0,unpossessed,7,agriculture,rural,0,246604.45
f,49,2222.435,high,commercial associate,high skill tech staff,urban,171032.88,619.21,n,y,2,752.22,0,inactive,6,commercial,semi-urban,1,316593.73
m,27,2399.71,low,state servant,core staff,semi-urban,131614.4,418.83,n,n,3,738.58,1,inactive,7,residential,urban,1,157936.37
f,59,2222.435,low,state servant,managers,urban,73226.23,388.79,y,y,1,646.88,0,inactive,6,residential,rural,0,132036.17
m,37,4230.93,high,commercial associate,realty agents,urban,98876.83,518.85,n,y,2,827.14,0,active,12,residential,semi-urban,1,156877.04
m,18,3763.03,low,commercial associate,drivers,urban,147886.6,596.09,y,n,2,701.73,0,unpossessed,10,commercial,urban,1,273885.81
m,39,1330.57,low,working,drivers,semi-urban,87208.08,817.24,y,n,4,734.17,0,unpossessed,4,residential,semi-urban,1,106918.58
m,56,2212.89,low,working,high skill tech staff,rural,34679.29,198.5,n,n,1,673.57,1,inactive,6,residential,semi-urban,1,38458.56
m,18,1533.25,low,state servant,medicine staff,rural,23120.35,251.13,n,y,1,821.05,0,active,4,commercial,rural,1,43198.86
m,18,1260.28,low,working,core staff,rural,59049.14,447.42,y,n,2,846.85,0,unpossessed,3,industrial,semi-urban,1,71437.32
f,37,2150.82,low,working,security staff,semi-urban,56104.47,329.74,n,n,1,728.1,1,inactive,6,industrial,urban,1,72434.2
m,25,2424.45,low,working,sales staff,semi-urban,98714.6,507.64,y,n,2,688.79,0,inactive,7,commercial,rural,0,183366.84
f,28,2222.435,low,state servant,waiters/barmen staff,urban,83437.25,275.04,y,y,3,781.7,1,unpossessed,6,industrial,urban,1,130836.27
m,43,2122.48,low,working,core staff,semi-urban,44915.7,288.63,n,y,2,760.85,0,unpossessed,6,residential,semi-urban,1,54859.07
f,18,2222.435,low,working,drivers,urban,106921.01,293.69,y,n,3,638.04,0,unpossessed,6,industrial,urban,1,139077.76
m,19,1766.58,low,working,hr staff,rural,57018.28,297.99,n,y,2,764.82,0,inactive,5,agriculture,semi-urban,1,102924.68
m,18,3801.54,low,commercial associate,managers,urban,58393.9,258.43,n,y,3,679.07,0,unpossessed,10,residential,rural,1,101787.53
f,40,3252.04,low,commercial associate,core staff,semi-urban,152887.83,848.01,n,y,2,797.47,0,unpossessed,9,residential,rural,1,254529.33
m,62,957.47,low,working,laborers,semi-urban,45198.09,241.36,y,y,3,809.13,0,active,3,industrial,semi-urban,1,109993.61
f,22,2222.435,low,commercial associate,core staff,semi-urban,128795.03,382.86,y,y,2,739.82,0,unpossessed,6,industrial,rural,1,227341.52
m,65,2222.435,high,pensioner,hr staff,semi-urban,208805.93,685.98,n,y,2,863.29,0,active,6,residential,semi-urban,0,381351.41
f,32,1512.31,low,working,core staff,semi-urban,34422.64,162.42,n,n,3,739.82,0,inactive,4,commercial,rural,1,60389.14
m,39,5061.36,low,commercial associate,sales staff,semi-urban,82033.6,402.23,n,n,3,665.36,0,unpossessed,14,industrial,semi-urban,1,97240.05
m,47,1381.57,low,commercial associate,sales staff,semi-urban,134516.44,334.58,y,n,1,656.09,1,unpossessed,4,residential,semi-urban,1,198217.17
f,57,1516.46,low,commercial associate,core staff,semi-urban,65897.03,450.37,n,n,3,659.41,0,inactive,4,residential,rural,1,114595.29
f,32,1752.44,low,commercial associate,laborers,semi-urban,53230.53,288.51,n,n,2,643.17,0,inactive,5,commercial,semi-urban,1,77489.23
m,18,1018.56,low,working,laborers,semi-urban,56026.62,214.63,n,y,2,693.55,0,active,3,residential,semi-urban,1,103626.26
f,55,1368.37,low,working,laborers,semi-urban,104181.2,756.88,y,y,4,726.72,0,unpossessed,4,residential,semi-urban,1,173494.74
f,21,6236.34,low,commercial associate,managers,rural,117653.99,526.62,y,y,2,757.74,0,active,17,residential,semi-urban,1,221243.65
f,37,1056.6,low,working,laborers,rural,39454.18,265.93,n,y,2,671.46,0,active,3,commercial,semi-urban,1,60703.46
m,55,2060.35,low,working,security staff,semi-urban,21104.23,232.38,y,y,2,720.82,0,inactive,6,commercial,urban,1,25299.6
m,56,973.83,low,working,core staff,semi-urban,37773.7,249.26,y,n,2,810.42,0,unpossessed,3,agriculture,semi-urban,1,55118.39
m,41,4594.73,low,commercial associate,laborers,semi-urban,76652.46,596.14,y,n,2,756.04,0,unpossessed,13,residential,rural,1,133895.97
f,18,2117.84,low,working,core staff,urban,45023.18,250.94,n,y,2,801.35,1,active,6,commercial,rural,1,55415.18
f,41,2198.62,low,state servant,core staff,semi-urban,214658.15,713.11,n,n,2,773.63,1,unpossessed,6,agriculture,semi-urban,1,320825.03
m,61,4302.16,low,working,high skill tech staff,semi-urban,96256.49,721.87,n,y,1,723.81,0,unpossessed,12,industrial,urban,1,141559.5
m,32,1376.07,low,working,hr staff,semi-urban,38861.24,174.14,n,y,3,864.97,0,active,4,industrial,urban,1,44816.13
f,51,3165.33,low,working,security staff,semi-urban,59987.44,275.83,n,y,2,624.22,0,active,9,industrial,semi-urban,1,106047.65
m,64,2124.14,high,pensioner,hr staff,semi-urban,182006.67,717.6,y,y,2,688.41,0,inactive,6,commercial,urban,1,292150.91
f,18,1735.45,low,working,waiters/barmen staff,semi-urban,43735.34,299.16,n,y,2,626.74,0,unpossessed,5,agriculture,rural,1,59645.65
m,18,2803.25,low,working,laborers,rural,53126.78,446.63,n,n,2,650.87,0,inactive,8,residential,semi-urban,1,61533.67
m,60,487.81,high,pensioner,hr staff,semi-urban,32207.01,134.48,n,n,2,833.48,1,unpossessed,1,commercial,rural,1,43529.65
f,51,1334.71,low,working,laborers,rural,14031.74,107.9,n,y,1,619.47,0,active,4,commercial,rural,0,26307.75
f,38,2058.74,low,commercial associate,sales staff,semi-urban,111219.04,564.34,n,y,3,753.22,0,inactive,6,residential,semi-urban,1,175829.44
m,64,1926.85,high,pensioner,hr staff,semi-urban,114605.79,329.78,n,y,2,811.96,0,unpossessed,5,agriculture,rural,1,203448.65
m,64,2767.38,high,pensioner,hr staff,semi-urban,121948.85,433.39,y,y,3,745.22,0,inactive,8,residential,rural,0,217444.16
f,18,3268.5,low,working,hr staff,semi-urban,78322.94,524.22,y,y,2,739.0,0,active,9,commercial,semi-urban,1,87682.63
f,48,1400.17,low,working,laborers,semi-urban,38835.69,184.66,n,y,2,652.26,0,inactive,4,commercial,rural,1,45074.64
f,18,2421.78,low,working,managers,semi-urban,48813.12,319.19,y,n,1,673.5,0,inactive,7,agriculture,urban,1,83961.4
m,36,1141.55,low,working,laborers,rural,76381.92,540.2,y,y,3,755.07,0,active,3,industrial,rural,1,135168.55
m,21,2130.16,low,working,managers,semi-urban,70367.85,241.25,n,y,3,676.67,0,inactive,6,residential,rural,1,90880.92
f,37,2132.13,low,working,hr staff,rural,82736.21,400.58,y,y,4,666.19,0,inactive,6,agriculture,semi-urban,1,124283.42
f,39,2010.3,high,working,hr staff,rural,88301.22,384.91,n,y,2,782.32,0,inactive,6,residential,semi-urban,1,116171.79
m,54,1865.28,low,working,laborers,semi-urban,77236.4,396.04,n,y,2,824.29,1,active,5,industrial,semi-urban,1,119507.39
m,55,2541.86,low,working,core staff,semi-urban,65215.71,221.58,y,n,3,865.53,1,unpossessed,7,commercial,rural,1,76015.9
m,63,2222.435,low,commercial associate,laborers,semi-urban,45943.39,375.2,n,y,2,686.71,0,active,6,agriculture,rural,1,80567.92
f,18,2222.435,low,state servant,hr staff,rural,119194.75,638.49,n,y,1,770.27,0,inactive,6,agriculture,semi-urban,1,109993.61
f,18,1657.21,low,state servant,hr staff,rural,28392.97,174.25,n,y,2,703.66,1,active,5,agriculture,urban,1,46113.97
f,61,1663.58,low,commercial associate,sales staff,rural,27549.98,204.14,n,n,2,664.37,0,inactive,5,commercial,rural,1,36919.66
m,31,2349.97,low,commercial associate,core staff,urban,65705.7,375.205,y,n,2,662.56,1,inactive,6,industrial,rural,1,83427.34
m,21,2011.88,low,working,cleaning staff,semi-urban,37658.07,314.62,n,y,2,624.31,0,active,6,commercial,semi-urban,0,51390.18
f,32,1375.52,low,commercial associate,hr staff,semi-urban,41044.28,198.83,n,y,2,730.22,0,unpossessed,4,agriculture,rural,1,68460.04
m,49,2782.29,low,state servant,medicine staff,semi-urban,115534.92,353.44,n,y,3,800.5,0,inactive,8,industrial,semi-urban,1,205638.23
f,32,4848.7,low,working,sales staff,urban,224083.98,784.27,y,n,2,818.95,0,inactive,13,residential,rural,1,302559.16
